label,youtube_id,time_start,time_end,split
testifying,---QUuC4vJs,84,94,train
eating spaghetti,--3ouPhoy2A,20,30,train
dribbling basketball,--4-0ihtnBU,58,68,train
playing tennis,--56QUhyDQM,185,195,train
tap dancing,--6q_33gNew,132,142,train
climbing a rope,--EaS9P7ZdQ,13,23,train
brushing teeth,--IPbe5ZMCI,2,12,train
balloon blowing,--Ntf6n-j9Q,17,27,train
feeding birds,--PyMoD3_eg,20,30,train
skiing (not slalom or crosscountry),--TBx-Spzis,148,158,train
dining,--UW3CcUqaU,20,30,train
hurdling,--VnA3ztuZg,57,67,train
javelin throw,--_S9IDQPLg,135,145,train
pushing wheelchair,--bO6XwZ9HI,41,51,train
snowkiting,--feYHvtteA,25,35,train
balloon blowing,--gx7yb1-x0,298,308,train
getting a haircut,--j-y5SNUhs,22,32,train
gymnastics tumbling,--jD1Yu5ZnQ,37,47,train
petting animal (not cat),--lrRHlpK68,218,228,train
biking through snow,--mI_-gaZLk,18,28,train
brushing teeth,--mQfG6Wu48,28,38,train
drinking,--uWuXty1jw,27,37,train
sword fighting,--vs4LFYKc8,273,283,train
making snowman,--wGzXrj0SU,20,30,train
somersaulting,-00fzD4K6aw,7,17,train
playing harmonica,-00nar1nEPc,33,43,train
passing American football (not in game),-01PKgtzCxc,34,44,train
clay pottery making,-01cbva4erQ,7,17,train
shaving legs,-02uQdK46rE,14,24,train
golf chipping,-05APhKiIXc,70,80,train
cooking chicken,-07Ke73N4zI,612,622,train
hurling (sport),-08KE5FkRUU,1,11,train
feeding birds,-0EXMXaj77A,62,72,train
pushing wheelchair,-0H3T2B9PH4,5,15,train
yawning,-0HKFF7F_BY,3,13,train
shaking hands,-0HRnFhCDdc,26,36,train
canoeing or kayaking,-0JU38ZQOlY,0,10,train
hula hooping,-0LoCy0-F9A,18,28,train
changing oil,-0M6S1qBn8s,243,253,train
sailing,-0MLLn0Zg1M,15,25,train
trapezing,-0MVWb7nJLY,8,18,train
playing paintball,-0MsYnGUrfE,22,32,train
eating spaghetti,-0R6wpipD-c,35,45,train
stretching arm,-0S06ntmN_I,19,29,train
snowboarding,-0SoxHZp0SM,91,101,train
skipping rope,-0WBheGENmk,9,19,train
getting a haircut,-0WL_HWewTE,25,35,train
windsurfing,-0Y3H5y75t8,20,30,train
golf putting,-0Yb1tD3HUo,4,14,train
zumba,-0_5tJuIrJA,4,14,train
eating watermelon,-0aDlftNdyw,280,290,train
shooting basketball,-0cOo0cRVZU,8,18,train
unboxing,-0gO3FmnKD8,135,145,train
marching,-0kVxoFuMGQ,622,632,train
snowkiting,-0lqH3xAz6M,14,24,train
making bed,-0mnCHRQ-Zc,92,102,train
sanding floor,-0oMsq-9b6c,95,105,train
flying kite,-0yuyrbruYM,79,89,train
windsurfing,-1-tBHJnKu0,199,209,train
changing oil,-157wqwwtAo,26,36,train
playing poker,-1B_EOupmCE,76,86,train
climbing a rope,-1Fa5I5O_40,9,19,train
giving or receiving award,-1GRj5UvVBA,25,35,train
canoeing or kayaking,-1GUNrYsD4Y,18,28,train
pole vault,-1HT31BzADs,118,128,train
shoveling snow,-1IlTIWPNs4,27,37,train
snowkiting,-1IqhhJEfTI,15,25,train
climbing ladder,-1KMJ1BZ2mU,17,27,train
dancing ballet,-1Kv095GbV8,0,10,train
baking cookies,-1MXpPymXFU,187,197,train
cooking egg,-1QHAHq6DnE,138,148,train
hitting baseball,-1QdDpPLoU0,0,10,train
passing American football (in game),-1UuX-zgjhY,0,10,train
feeding birds,-1VyqbLf1Pg,0,10,train
dancing charleston,-1_m2Igd2Yc,209,219,train
golf chipping,-1brKJdL-iM,93,103,train
headbanging,-1dWGnhjB2A,49,59,train
peeling potatoes,-1jQapks1hI,53,63,train
drumming fingers,-1lKx46x_18,147,157,train
smoking hookah,-1lbeA9Jogw,0,10,train
skipping rope,-1mbYmIZ9iw,83,93,train
archery,-1q7jA3DXQM,5,15,train
motorcycling,-1rkM-owGVk,225,235,train
hurdling,-1vJ0LtMwPw,219,229,train
dining,-1z6wTJmBIU,2,12,train
disc golfing,-1zcUy-nivk,98,108,train
walking the dog,-2-2p5R_ujo,162,172,train
shearing sheep,-2-nYjSwo8U,42,52,train
welding,-22U1I2zQf4,0,10,train
singing,-239HZbaZ0M,164,174,train
knitting,-23v6JvvGEw,36,46,train
mowing lawn,-24HxQDHOAM,1,11,train
blasting sand,-29ubzvDWJM,31,41,train
swinging legs,-2CSZvTHhIQ,10,20,train
making jewelry,-2FruMQDUR0,81,91,train
hitting baseball,-2GucDajjGY,1,11,train
tapping guitar,-2IdUKJVuMY,4,14,train
cartwheeling,-2IvRufK7uc,19,29,train
zumba,-2JX0RWhbIU,746,756,train
dancing ballet,-2KEkl93snA,96,106,train
marching,-2KG4xiBL1s,5,15,train
marching,-2KezGiYpZA,48,58,train
snowboarding,-2Km-NboGO4,2,12,train
golf driving,-2KvnLMnrA0,0,10,train
milking cow,-2LiVPczCr8,138,148,train
punching bag,-2N36vLrHbU,0,10,train
petting animal (not cat),-2OIwKdLW_Q,66,76,train
shooting basketball,-2U9f7hb76Q,141,151,train
singing,-2UWP3n_05A,360,370,train
dribbling basketball,-2UnEKzUgSU,5,15,train
playing tennis,-2egBNANLTg,9,19,train
unboxing,-2gL5FducRk,19,29,train
playing accordion,-2hoixBAoJ4,346,356,train
ice climbing,-2jPR5x7kLw,135,145,train
passing American football (in game),-2jWUw9x4Ss,2,12,train
auctioning,-2jqFdD__ag,255,265,train
drop kicking,-2mJ8r8dDrA,5,15,train
busking,-2p42aWACGw,162,172,train
ironing,-2pbmcFUlqg,8,18,train
waxing back,-2tv_BBzNnY,17,27,train
catching or throwing softball,-31EYtlmnV8,6,16,train
headbutting,-327uLLh08w,4,14,train
weaving basket,-34DlWSfs2g,125,135,train
baking cookies,-36efvC2K54,73,83,train
getting a tattoo,-36nz7JP2Ac,101,111,train
air drumming,-37UUIjsmGA,16,26,train
playing ukulele,-39sHTky_6o,125,135,train
abseiling,-3B32lodo2M,59,69,train
playing guitar,-3EZyImLCXk,3,13,train
playing drums,-3Esu7rw6DM,103,113,train
carrying baby,-3I-5fQwkbo,21,31,train
knitting,-3ILasp5SPM,106,116,train
bandaging,-3L-WLPIOuo,92,102,train
milking cow,-3N2gRXnmsE,101,111,train
playing trumpet,-3Nz5NOgpXM,57,67,train
springboard diving,-3OVmEFi_X4,13,23,train
ice climbing,-3S3VX06QHg,32,42,train
ironing,-3SmhZu4ZWc,95,105,train
celebrating,-3TTZ9RtlwM,9,19,train
ice climbing,-3W9JmAcHxI,4,14,train
tossing coin,-3cITTb9tmA,111,121,train
weaving basket,-3d_wBqauwE,322,332,train
using remote controller (not gaming),-3dkp9Yl6ZQ,17,27,train
golf chipping,-3dnFPNzuW4,0,10,train
presenting weather forecast,-3etcrOAM-E,14,24,train
stretching arm,-3g_TFW76GI,81,91,train
eating spaghetti,-3gv9XDUOFA,19,29,train
using remote controller (not gaming),-3hVTR-MNag,155,165,train
ice skating,-3kZSi5qjRM,0,10,train
shuffling cards,-3lhp17hpGw,83,93,train
contact juggling,-3oMRfsfzQ0,3,13,train
smoking,-3oeeJz_bjk,9,19,train
ice climbing,-3pWBL1TJZg,0,10,train
jumping into pool,-3pp5xan1Hw,6,16,train
shuffling cards,-3t2tQHIpZw,1,11,train
balloon blowing,-3tVVBhz8-o,249,259,train
barbequing,-3usVvvMGSY,111,121,train
picking fruit,-3vKpQQMYbE,31,41,train
ice climbing,-3wWE2UjjWM,163,173,train
tying tie,-3x5jizdxd8,112,122,train
air drumming,-3xvTiROe7o,0,10,train
tapping guitar,-40Vpi4U4ac,28,38,train
bookbinding,-43sC7j9Qa0,156,166,train
jumping into pool,-458rvyOZkM,12,22,train
riding mechanical bull,-48E9wdw6Tg,23,33,train
riding mule,-48nAx22Iwk,394,404,train
headbanging,-4A5Vwel4s8,0,10,train
passing American football (not in game),-4Ag5_I75Zk,7,17,train
playing monopoly,-4AxmUAfrSc,28,38,train
shaving legs,-4BLNRb_LcM,3,13,train
eating spaghetti,-4CxOUPL6o4,49,59,train
squat,-4FLl7iMGPY,64,74,train
jumping into pool,-4FUO1JxtYg,0,10,train
sharpening pencil,-4GdVLFjMEQ,2,12,train
playing harp,-4GpJEw9uXs,6,16,train
zumba,-4NEbD72NGY,167,177,train
shaking head,-4Q5hF4j734,12,22,train
playing accordion,-4XHW-rTETw,29,39,train
catching fish,-4ZqQgKrfUY,23,33,train
shot put,-4_M902vHy8,11,21,train
kitesurfing,-4ano7snqlI,36,46,train
zumba,-4c-YyO9Fos,190,200,train
marching,-4c4r9YeS6s,98,108,train
spinning poi,-4cDS45kNJw,277,287,train
crawling baby,-4cOHrUxr4o,78,88,train
welding,-4cQyIDxeQ4,190,200,train
flying kite,-4dHxTY4iwo,43,53,train
golf putting,-4ggQ2PfUOc,244,254,train
sharpening pencil,-4hBIMB5SKg,151,161,train
country line dancing,-4hw_9qTcSk,16,26,train
cheerleading,-4kKgG116hE,279,289,train
spray painting,-4kN8H3nd-8,113,123,train
arm wrestling,-4nflM3cGb8,3,13,train
roller skating,-4pz4u3SAME,99,109,train
tap dancing,-4r6VLqGeK4,106,116,train
eating doughnuts,-4rQAS_gF_U,42,52,train
playing bass guitar,-4rho9cuCfk,14,24,train
playing trombone,-4uHANzXV6k,822,832,train
shaving legs,-4viFSz94q8,44,54,train
skydiving,-4vmG6FBUD4,160,170,train
unboxing,-4ybF8b7JdA,128,138,train
climbing tree,-4z6LUW4SH0,288,298,train
riding elephant,-50M_ypyDWw,0,10,train
flying kite,-51ACZu5ZPI,4,14,train
