label,youtube_id,time_start,time_end,split
spinning poi,tRagrqk2leM,135,145,train
parasailing,tRakkhjJuqo,116,126,train
skydiving,tRbh7MFB3_M,289,299,train
shaking head,tRdEMOvt3aE,3,13,train
jumping into pool,tRdZgN3cFGk,10,20,train
shaving head,tReJVOKdi1o,16,26,train
singing,tReqiNAOhLI,128,138,train
cleaning windows,tRf_GFZf10o,28,38,train
shuffling cards,tRh3z8PGzXo,31,41,train
playing cricket,tRhO4UBBKJY,6,16,train
barbequing,tRhnGP_l9tY,15,25,train
kitesurfing,tRhwuw2LZU4,0,10,train
paragliding,tRjAUWYWE54,19,29,train
using remote controller (not gaming),tRkixe9UUWQ,32,42,train
snowmobiling,tRl448iiqGY,43,53,train
snowmobiling,tRneZueI-Dw,163,173,train
writing,tRpPHylKFCQ,61,71,train
washing hair,tRrq13kvltc,28,38,train
juggling fire,tRs_h1cCWe4,3,13,train
folding napkins,tRyXkYmu-cs,33,43,train
biking through snow,tS0UfzqMbRs,100,110,train
finger snapping,tS4LfaOh3SU,75,85,train
motorcycling,tS59GqnTgDs,55,65,train
walking the dog,tS5IAj79vuw,0,10,train
milking cow,tS6SOxZLQBQ,2,12,train
archery,tS6kVppxnz0,27,37,train
tasting food,tS9JlgFVU04,154,164,train
surfing crowd,tS9dGO79N8w,52,62,train
grooming horse,tS9rqnpDXSI,38,48,train
checking tires,tSD5op-J5jo,41,51,train
mowing lawn,tSDT4s2Wdmk,5,15,train
biking through snow,tSDetjXINn0,28,38,train
playing trombone,tSDh5x8X2L8,8,18,train
playing ice hockey,tSGDhMjim_Q,96,106,train
tobogganing,tSGEJaoexpk,4,14,train
counting money,tSGjIKrq5ww,351,361,train
passing American football (not in game),tSHwhFPxI7M,19,29,train
bending back,tSLLvmGucBs,9,19,train
windsurfing,tSLmatrogmQ,27,37,train
ski jumping,tSOARu1WPH8,15,25,train
roller skating,tSP8Q7veCPg,78,88,train
playing poker,tSS1hC42ryQ,11,21,train
high jump,tSS7gX9zRII,2,12,train
finger snapping,tSUaS0ckH4w,1,11,train
shearing sheep,tSVSfGMzLQU,27,37,train
passing American football (not in game),tSZlhLmbswg,55,65,train
shearing sheep,tS_dTZ8psVU,7,17,train
climbing ladder,tSakmEXpl78,1,11,train
sweeping floor,tScMyddceHI,4,14,train
cooking chicken,tSdM-MlogpQ,33,43,train
waxing chest,tSdYyORHv70,28,38,train
massaging back,tSfnTjy3eM0,3,13,train
hitting baseball,tSgEMeaoUcU,141,151,train
pushing cart,tSh_JcbAZ-0,3,13,train
playing trombone,tSi9F1cA-VM,0,10,train
balloon blowing,tSieM5zenhc,1,11,train
playing bagpipes,tSilCYD4tYk,16,26,train
cleaning shoes,tSjgm88Whi0,130,140,train
springboard diving,tSk1GWyofaU,1,11,train
bench pressing,tSmRu3HCPwo,30,40,train
playing violin,tSqWB6derkE,27,37,train
pull ups,tSs1fVXMuPA,35,45,train
skiing (not slalom or crosscountry),tSs6h3488Qs,40,50,train
dancing ballet,tSs8lDxLLlY,30,40,train
snorkeling,tSsi4XE8sHs,12,22,train
brush painting,tSuL6RJGBU4,304,314,train
capoeira,tSuZO4cyYXw,6,16,train
playing kickball,tSuf9dIew3U,4,14,train
whistling,tSwq75zhPsE,164,174,train
doing nails,tSx6UiWUhWQ,118,128,train
bench pressing,tSyI0Jvggn0,0,10,train
sailing,tSyrtd1jcos,444,454,train
spray painting,tSzIRI1Cgbc,8,18,train
busking,tSzKq_tURdo,15,25,train
crawling baby,tSzaaUvNK8o,52,62,train
petting animal (not cat),tT1yYL0bI_0,59,69,train
massaging legs,tT1zwe0u6eY,196,206,train
hockey stop,tT2A-Un5Ndo,2,12,train
washing dishes,tT2UL6gXse4,6,16,train
smoking,tT2v-ljT3mM,410,420,train
waxing eyebrows,tT5d1UV-mhQ,1,11,train
mowing lawn,tT7ljH8GCl8,45,55,train
playing tennis,tT8sVPdAGdc,0,10,train
chopping wood,tTBbFGv9emI,22,32,train
peeling apples,tTBmkIjyba0,10,20,train
playing harmonica,tTCd9SQVGHo,194,204,train
riding elephant,tTE_vs7N4rA,9,19,train
springboard diving,tTHGCcKUgQ4,1,11,train
pumping fist,tTI-SiBKjaQ,15,25,train
throwing ball,tTLTFuR3v3s,4,14,train
writing,tTMV8JRCg44,302,312,train
scuba diving,tTOIu8wHgEU,14,24,train
scuba diving,tTPD2ExnJ8Y,184,194,train
contact juggling,tTQ9a6rdjaU,7,17,train
making pizza,tTRlGoh1N_o,12,22,train
weaving basket,tTRxgOsPI-s,94,104,train
riding elephant,tTUu30lC9CM,0,10,train
stretching arm,tTW6BvEPZ0s,207,217,train
hula hooping,tTWbLm9i2fo,1,11,train
eating carrots,tTaUasv14j8,3,13,train
pushing car,tTbgdwYYVUQ,5,15,train
recording music,tTfz4WHdCdo,388,398,train
tapping guitar,tTgxDw1TEPU,122,132,train
reading book,tThMaywaL-k,146,156,train
playing basketball,tThj4MF03pI,40,50,train
gymnastics tumbling,tTiS3rUmaSQ,50,60,train
sweeping floor,tTjsR7KLnIE,186,196,train
cooking egg,tTjwDCq5928,95,105,train
washing hands,tTkO2ThyObI,56,66,train
passing American football (not in game),tTmFwDtK2E8,10,20,train
using computer,tTo2NLZpG-M,64,74,train
shaking hands,tTotieIhUXI,31,41,train
shaking hands,tTqP1HaONqQ,4,14,train
washing feet,tTsxmj2VGg8,152,162,train
playing cards,tTumIsH3T-I,127,137,train
playing badminton,tTuzrLQTvTY,2,12,train
barbequing,tTx8hDqbF20,58,68,train
golf putting,tU4H3NuQTVg,87,97,train
smoking hookah,tU70Cocf9PM,4,14,train
passing American football (not in game),tU77eJ7QLr0,8,18,train
headbanging,tU8J_ECwAVk,0,10,train
counting money,tUA5uPQFOZM,96,106,train
riding or walking with horse,tUCpdUsR_U0,21,31,train
braiding hair,tUEvsJY3PmY,189,199,train
watering plants,tUFa3NN6xg0,144,154,train
texting,tULNRTJKUGA,51,61,train
stretching arm,tUMEN6UP3hM,121,131,train
bartending,tUMnK5Osma4,44,54,train
hopscotch,tUNEOEXWCF0,8,18,train
rock climbing,tUPwuphO1EY,35,45,train
playing basketball,tUQH174pL0M,3,13,train
playing bass guitar,tUQKSSW0qf4,1480,1490,train
opening present,tUQQSYjRanw,234,244,train
cleaning pool,tUQdjM1ydSI,8,18,train
blowing out candles,tUT6Qkabqus,1,11,train
catching or throwing softball,tUVUJcU-gnA,43,53,train
feeding goats,tUW2Ql58XVE,0,10,train
braiding hair,tUXkDJoo6qQ,78,88,train
chopping wood,tU_DcOgIVyw,35,45,train
rock climbing,tUa0KmDz2sY,373,383,train
high jump,tUaf-Kpoi2Q,1,11,train
eating spaghetti,tUdQvGPqLlw,10,20,train
kicking field goal,tUh8VfWtbgU,4,14,train
playing monopoly,tUh95R7pHic,0,10,train
dying hair,tUhaIXAU9vQ,123,133,train
breakdancing,tUiiHzNZcgg,96,106,train
using computer,tUkrrQawX7Y,158,168,train
scrambling eggs,tUoSj0hC_Yw,167,177,train
strumming guitar,tUpmJILvh6E,32,42,train
hockey stop,tUswtVOJv6g,6,16,train
high jump,tUt_SmWM70w,164,174,train
hockey stop,tUufh-1bfNw,82,92,train
lunge,tUum8A3wfIk,1,11,train
bouncing on trampoline,tUwZetYN_mg,58,68,train
grooming horse,tUweJce8iHs,272,282,train
driving tractor,tUwkgjDk8eo,19,29,train
springboard diving,tUwtBk0lQ1A,14,24,train
eating burger,tUy0yzLKSCA,67,77,train
triple jump,tUyPtHq2b14,53,63,train
crossing river,tV05OQbmssw,0,10,train
flying kite,tV1QMfXiyGs,5,15,train
skiing crosscountry,tV1_bva1LCs,4,14,train
playing flute,tV2k1g35hVA,115,125,train
windsurfing,tV4_vi83ph0,23,33,train
riding a bike,tV4ff3zkhYw,4,14,train
making pizza,tV5MFyAoyRU,286,296,train
playing trumpet,tV5dK_bBW1o,0,10,train
flying kite,tV6Y4umeXz8,60,70,train
cooking egg,tVBL6hq2m5c,4,14,train
unloading truck,tVBVAQ1oHew,7,17,train
zumba,tVFP6hg8XCI,479,489,train
climbing ladder,tVGCifV63l0,6,16,train
shoveling snow,tVGl2SSKPKM,32,42,train
brushing teeth,tVHKv3jJSms,66,76,train
reading book,tVHe5jShzMY,152,162,train
roller skating,tVJaKSUHCWc,91,101,train
opening bottle,tVKIGlG30Tw,12,22,train
pushing cart,tVKZ0Q-vzig,13,23,train
playing drums,tVPC-Aplie4,27,37,train
sled dog racing,tVPWww64xZ4,14,24,train
motorcycling,tVQbG8ewvpQ,1,11,train
climbing ladder,tVS0cPUNXeg,2,12,train
driving tractor,tVSx8Dmuoq8,0,10,train
surfing crowd,tVTpckHhS1E,14,24,train
lunge,tVVQwTU5Tx0,10,20,train
blowing out candles,tVXKLfUOTc8,4,14,train
biking through snow,tVXfyCXFFnM,95,105,train
javelin throw,tVZo95INM1M,51,61,train
stretching leg,tV_SAGYNt_M,22,32,train
ice skating,tVb5aHtKxwc,0,10,train
petting animal (not cat),tVbCsQLUflg,97,107,train
high jump,tVdDbnHHOfo,38,48,train
eating chips,tVdEIRveDPI,0,10,train
cutting pineapple,tVfFvPUKyHE,3,13,train
exercising arm,tVgCYgvrKnA,36,46,train
tapping guitar,tViLM71_C_k,38,48,train
eating watermelon,tViXThTvkqE,2,12,train
skiing crosscountry,tVk_GAoYx7w,27,37,train
snowkiting,tVm0pPTb1EQ,16,26,train
golf putting,tVm3dYRpOxc,310,320,train
reading book,tVm9Fn2mOtc,162,172,train
writing,tVmErocrBfE,3,13,train
bowling,tVn6XTl6xG0,1,11,train
breakdancing,tVn8PlhzfP8,13,23,train
jetskiing,tVnugZXgBjk,803,813,train
skiing (not slalom or crosscountry),tVpSUPDp3hQ,62,72,train
country line dancing,tVpp5JW8uIo,205,215,train
spinning poi,tVq07glOK3k,91,101,train
spraying,tVq6BfvV-Do,15,25,train
playing saxophone,tVrk0rMWbuY,111,121,train
weaving basket,tVrrP16e9Mw,670,680,train
drinking shots,tVtugWzJ_p4,4,14,train
golf driving,tVvmFuitR4o,85,95,train
dribbling basketball,tVw4gFuavmU,11,21,train
playing tennis,tVwYG4sUvRQ,37,47,train
eating spaghetti,tVwYHPT72Ms,20,30,train
peeling apples,tVy4gfLPCfA,29,39,train
laughing,tW0MjQx5GPk,3,13,train
bench pressing,tW0YTTw0TbU,0,10,train
cooking sausages,tW1PaH7Nof0,24,34,train
playing flute,tW1SeMO6Q0Y,2,12,train
drop kicking,tW3BFxecetA,109,119,train
hockey stop,tW6OLrwcKYE,21,31,train
making sushi,tW6QUamDhtI,37,47,train
assembling computer,tW6hRSsHrys,4,14,train
headbutting,tWBHD1wgSCY,10,20,train
playing guitar,tWDwmoPyGqY,447,457,train
contact juggling,tWFbVuLW77M,64,74,train
playing organ,tWHZ6KxRQF0,231,241,train
climbing ladder,tWHi82K8AHs,20,30,train
making tea,tWHtrqMDsE0,22,32,train
drop kicking,tWIvW0a7IUE,7,17,train
making a sandwich,tWJPuNbYgms,205,215,train
drinking,tWJQTR5WSQM,135,145,train
canoeing or kayaking,tWN8XI37rT4,155,165,train
mowing lawn,tWOUFVEGTkY,8,18,train
reading book,tWOglIYLpL4,83,93,train
breakdancing,tWPBC5Su-CQ,14,24,train
