label,youtube_id,time_start,time_end,split
pole vault,UkpD_T1-qB4,0,10,train
wrapping present,UkpxNrwX2vE,96,106,train
diving cliff,UkriSx1-uxg,4,14,train
climbing a rope,UksB9lduVGc,14,24,train
playing bagpipes,UktkSYEiW48,56,66,train
playing cricket,Uku2-fs-klI,0,10,train
biking through snow,UkuyMDlUQ7g,3,13,train
shooting basketball,Ul-ksCydqLY,6,16,train
getting a haircut,Ul2N3cLGNns,8,18,train
capoeira,Ul5BCQuGVCM,1,11,train
pushing cart,Ul8iYwLmgr8,0,10,train
scrambling eggs,UlAnohNZ_gM,7,17,train
playing bass guitar,UlD0kmqGQfs,22,32,train
shaking head,UlHYr1K-hWM,34,44,train
unboxing,UlJNsaB9Fz4,136,146,train
blowing nose,UlKKenV42-0,18,28,train
ice skating,UlKgb4WPXBY,28,38,train
ripping paper,UlMSKrKgfPU,56,66,train
grooming dog,UlMYpnpcmeY,7,17,train
waiting in line,UlON_PJbKf8,3,13,train
doing laundry,UlPP8QKLLsY,15,25,train
balloon blowing,UlSwBa_zWD8,13,23,train
dancing gangnam style,UlUB9o9Adn4,24,34,train
giving or receiving award,UlWqKTLpgMM,40,50,train
bandaging,UlYqpGzydZg,58,68,train
massaging legs,Ulb7RxWBtsE,1978,1988,train
playing kickball,UlbHiT6TnBM,41,51,train
tasting food,UlhmiiaRu-4,143,153,train
surfing water,UlhnahtGcig,1,11,train
tapping guitar,UlitrBt8f44,19,29,train
cleaning shoes,Ulq6nPe1p_A,7,17,train
brushing teeth,UlqJMuLsw74,0,10,train
washing feet,UlqgHV0an30,121,131,train
carving pumpkin,Uls01pJ6iWk,396,406,train
hitting baseball,UltQKfbijg0,5,15,train
dunking basketball,UluSuh3ORJs,19,29,train
eating spaghetti,UlvA3y50r28,4,14,train
strumming guitar,UlwXE8AfIVQ,1,11,train
juggling balls,UlyMIxqVAfg,285,295,train
playing cards,Um-skkrwv8w,111,121,train
tobogganing,Um04eLTT400,15,25,train
riding mountain bike,Um0wDevU-Fg,276,286,train
playing clarinet,Um25TC8xJmM,108,118,train
cutting nails,Um60Ve998aY,4,14,train
shooting basketball,Um6GAgAp1NM,56,66,train
decorating the christmas tree,Um7J_0gsUso,12,22,train
grinding meat,Um82R7CPwLk,72,82,train
drinking shots,Um9lGc-UADk,0,10,train
belly dancing,UmA5H8mbg00,31,41,train
pull ups,UmAtoY2UzxM,11,21,train
playing harp,UmBixZGUBY8,4,14,train
stretching leg,UmCv6owNm-o,13,23,train
country line dancing,UmE_cJ4tjpo,9,19,train
air drumming,UmEeFFmEQ8Y,2,12,train
blowing nose,UmFFSXs3D9w,11,21,train
trimming or shaving beard,UmFwUNDsFcc,21,31,train
dining,UmGWOV57qzU,135,145,train
hugging,UmGi-FD_8eM,28,38,train
golf driving,UmJeiwNDK08,1,11,train
bobsledding,UmKyHjLShp8,51,61,train
snowboarding,UmN8GF-btm8,121,131,train
surfing water,UmNEKmGSpS0,44,54,train
snorkeling,UmNEcOLlbHo,68,78,train
braiding hair,UmNZG5HJocc,0,10,train
tying knot (not on a tie),UmNdIaSbseE,177,187,train
playing harp,UmOtkTZEF3Y,34,44,train
shoveling snow,UmQUIcFazB8,76,86,train
playing bagpipes,UmQbRngbWxA,51,61,train
bench pressing,UmQzLONStf4,1,11,train
strumming guitar,UmRoRsWOX0Y,33,43,train
playing cello,UmSDhdXUT9M,10,20,train
tapping guitar,UmTQYquqxSY,96,106,train
playing didgeridoo,UmV8ACdqJl8,0,10,train
playing keyboard,UmWRKaRyt1Q,2,12,train
drinking,UmWhSwWuPmQ,36,46,train
playing organ,UmYwpHFICeY,53,63,train
driving car,UmZFKSCQVFQ,50,60,train
picking fruit,Um_GL4XukwQ,1,11,train
yoga,Uma1-8NgfRQ,393,403,train
petting animal (not cat),Umaa8Vklk2M,32,42,train
making bed,UmasNYqxXLc,102,112,train
blowing leaves,UmbIcHvic1Y,6,16,train
feeding goats,UmbOMKTem3o,118,128,train
playing trombone,UmbcN7G-RFQ,13,23,train
high kick,Umc_Vm3ZdsA,2,12,train
cutting pineapple,Umea0J5N9Pk,24,34,train
surfing crowd,Umge9jGpuxQ,198,208,train
opening bottle,UmhJZBKdr7g,61,71,train
skipping rope,UmhUWA7nGE4,11,21,train
jogging,UmhbcpTKLSM,0,10,train
hula hooping,UmiGUFWmDA8,49,59,train
spray painting,UmmmGDEQANQ,16,26,train
playing trumpet,Ummxiz5RFuE,22,32,train
smoking,UmoVHjgzfCs,121,131,train
tai chi,UmoiTZRLYiQ,136,146,train
archery,Umos1MMuveQ,3,13,train
making bed,UmpjYScIPfw,4,14,train
sweeping floor,Umq9p-W1WrY,29,39,train
water sliding,UmqZfNnLAP0,14,24,train
blowing nose,Ums9wcFyCGM,12,22,train
hammer throw,UmtOmBYRZq4,18,28,train
snowkiting,Umu9Sprvhds,62,72,train
canoeing or kayaking,UmuOGCpmH3s,14,24,train
headbanging,UmucOY7zTxk,0,10,train
eating spaghetti,UmuewFDkhSU,1,11,train
motorcycling,UmvcnOKz8w0,388,398,train
playing organ,Umx-GqJn_0I,177,187,train
swing dancing,UmxTobwYqmM,26,36,train
dancing gangnam style,Umy1idnHzf0,140,150,train
somersaulting,UmyvS3DT8ho,0,10,train
driving tractor,UmzRsaFvhE4,592,602,train
welding,Un00zzbtFRo,40,50,train
throwing discus,Un0pPdc7UGU,0,10,train
sneezing,Un2bIn3ZwBE,0,10,train
feeding goats,Un2n4QbzURI,102,112,train
riding or walking with horse,Un4n5EexivI,15,25,train
bench pressing,Un5qAeH0Iww,9,19,train
jetskiing,Un64CMo1rmo,29,39,train
playing controller,UnEWuCoZITg,4,14,train
golf putting,UnEhzavzyqc,56,66,train
checking tires,UnFNJuT5Ezw,33,43,train
skiing (not slalom or crosscountry),UnGaAQ8M9RE,24,34,train
riding unicycle,UnGxFi0H5UA,65,75,train
drinking beer,UnK6O-53CPI,0,10,train
playing violin,UnOLj7MJkPA,298,308,train
shooting basketball,UnPVVoWPVAU,3,13,train
trimming or shaving beard,UnRs2gjW58s,356,366,train
ice climbing,UnZIoengeuM,308,318,train
blasting sand,Un_-Ic5RawE,13,23,train
jumpstyle dancing,UnahetvXrnE,15,25,train
bookbinding,Unaiw69zVrM,86,96,train
dancing gangnam style,UnbnOGGiaFE,31,41,train
diving cliff,UndVFJJwMdk,1,11,train
lunge,UnfCIG5Sa8o,2,12,train
unboxing,Ung7bTyFdNc,110,120,train
setting table,UngFqbvv6eM,7,17,train
crying,UnierMA90D4,66,76,train
windsurfing,UnikIQumZfA,53,63,train
tobogganing,Unk6QDQSzCg,1,11,train
crawling baby,UnkTsFBxvPc,1,11,train
dying hair,UnovBIlPLdQ,603,613,train
playing volleyball,UnpynGCCJQI,210,220,train
crawling baby,UnsFIVhKgOw,43,53,train
waiting in line,UnsvIwmm88U,29,39,train
sled dog racing,UnvtKd6zQqA,167,177,train
drumming fingers,Uo056Mnkc6Y,13,23,train
eating hotdog,Uo2ZhNPuTm8,53,63,train
cleaning windows,Uo6B9zqkxTo,21,31,train
cleaning windows,Uo6Z1esEL6I,169,179,train
playing harmonica,Uo6eU9kFgL0,134,144,train
shearing sheep,UoCEgTVlxuE,4,14,train
slacklining,UoGWk_M4uzM,1,11,train
playing trombone,UoGYtr5nKC4,13,23,train
parasailing,UoMGKmuqc54,22,32,train
bench pressing,UoNIkXQ3xpw,11,21,train
slacklining,UoNpdA902Gs,105,115,train
clean and jerk,UoPJK--WhCA,1,11,train
brushing teeth,UoPQUwDxSIc,6,16,train
making bed,UoPlRu1SQj4,1045,1055,train
tying knot (not on a tie),UoPuinmsX_o,84,94,train
playing badminton,UoRRXxeSGOA,7,17,train
passing American football (in game),UoRuwwwqVjk,1,11,train
blowing out candles,UoXJXPRxcEw,3,13,train
roller skating,UoXhGZYpDbk,42,52,train
tobogganing,Uo_X5PEIlsk,1,11,train
catching or throwing softball,Uo_gQQhDwPc,3,13,train
zumba,UobBSkese-U,4,14,train
playing cymbals,Uobc0P7VYR0,0,10,train
sled dog racing,UoczRBUzl-o,33,43,train
picking fruit,UodJvsB51kE,33,43,train
golf putting,UodZeEkpYD4,12,22,train
catching or throwing baseball,Uoe0EQh3740,2,12,train
blowing out candles,UoeHTxWC45w,23,33,train
throwing ball,Uof65u9xwKo,9,19,train
kissing,Uoh0bTgRips,221,231,train
dribbling basketball,UohAQo2_EnA,8,18,train
playing accordion,UoiR7cISTzw,90,100,train
curling hair,Uol74VmTs8I,452,462,train
curling hair,UoljoGm09h4,300,310,train
playing harmonica,UopsscdweAc,47,57,train
finger snapping,Uor9jmgui4A,22,32,train
javelin throw,UorAmIN9Rts,4,14,train
playing cello,UoswGPThMC4,466,476,train
massaging feet,UotBIgJet_8,402,412,train
trimming or shaving beard,UouhWnT781w,247,257,train
playing ice hockey,Uovkxo-YvC4,24,34,train
springboard diving,UoxQT7DGcLY,40,50,train
clapping,Uoxou3qcPfA,3,13,train
playing basketball,Uoy7b40u2Pk,48,58,train
punching bag,UoyF4zd_9NE,77,87,train
extinguishing fire,UoyjM0um8CU,6,16,train
catching fish,UozL2g5xQDI,1,11,train
archery,Up-e7ZYPw4A,4,14,train
building shed,Up0PG0IrZoo,551,561,train
playing violin,Up0Xsd_TLSE,384,394,train
smoking,Up3vManunWA,31,41,train
throwing ball,Up4134IRXls,14,24,train
bench pressing,Up7laNAyF4M,0,10,train
eating spaghetti,Up8tB8tlEYk,7,17,train
swimming backstroke,Up9UeQmwtD0,39,49,train
shearing sheep,UpAyxnspuZk,123,133,train
bench pressing,UpCSaznTuW4,5,15,train
cutting watermelon,UpDQ0lBL6e0,88,98,train
washing feet,UpDwf1J9YSQ,465,475,train
