label,youtube_id,time_start,time_end,split
unloading truck,_XH_50Lp8qQ,13,23,validate
breading or breadcrumbing,_XW26KtuyUo,93,103,validate
skiing slalom,_YZiOJn1mYg,10,20,validate
washing feet,_Z1z07f93Yg,1,11,validate
snorkeling,_ZJUne6Ya0A,157,167,validate
playing harp,_ZY_EfSlzGA,45,55,validate
abseiling,__NrybzYzUg,415,425,validate
jumpstyle dancing,__PYrzYbzKE,195,205,validate
clay pottery making,__U_scuxNlQ,34,44,validate
passing American football (in game),__lt03EF4ao,10,20,validate
parkour,__vOysOPoCY,4,14,validate
strumming guitar,__vzEs2wzdQ,26,36,validate
using segway,__wsytoYy3Q,55,65,validate
shaking head,_a6FXNoEpA8,13,23,validate
tobogganing,_aAv5R5CPT4,4,14,validate
abseiling,_aQSjArgAqA,123,133,validate
flying kite,_aWTfnkEyDk,12,22,validate
bookbinding,_adU_0hUdr8,676,686,validate
tapping guitar,_aeY4zxxbk4,12,22,validate
trimming trees,_agtjsQnW7o,1,11,validate
counting money,_aq-P77x7yQ,82,92,validate
drumming fingers,_bIxNYfYDZU,80,90,validate
smoking,_bMKjdjZO8Y,21,31,validate
tickling,_byZSlkIXyA,150,160,validate
dribbling basketball,_cDPlZP2UVw,4,14,validate
climbing ladder,_cE0yJ04jkQ,58,68,validate
folding napkins,_cHyoOCs8iQ,70,80,validate
bandaging,_cPET9N-1z0,26,36,validate
celebrating,_cUwBX4u4e4,0,10,validate
planting trees,_cZNgZWuF1w,105,115,validate
catching or throwing frisbee,_cyz8Z0xjwg,88,98,validate
folding paper,_dWpzz8ng9U,2,12,validate
playing bagpipes,_eVCAsZxcPw,3,13,validate
clay pottery making,_ebcuq_qItc,25,35,validate
testifying,_ekOIpM7Qds,257,267,validate
making sushi,_f7V1PRKmBg,17,27,validate
playing cello,_f7qCwXJQmQ,35,45,validate
changing wheel,_fZNRQIXFoI,26,36,validate
swinging on something,_fsg32rNWqE,29,39,validate
punching bag,_gPCy4ahhVk,1,11,validate
hula hooping,_gtC_avp2gU,2,12,validate
marching,_h60EbUbh3I,26,36,validate
dancing ballet,_h6ZPj42QJU,17,27,validate
slapping,_h6hzkHong8,0,10,validate
playing cymbals,_hIHeayGu_A,198,208,validate
exercising arm,_hShLat2FSY,1,11,validate
snowboarding,_hYvJAtCIM8,227,237,validate
pumping fist,_hbjbLIgruw,6,16,validate
riding mule,_huwe4p4rLk,224,234,validate
drumming fingers,_i7h9py1DEg,33,43,validate
unboxing,_iO190LumRg,68,78,validate
massaging back,_iPsOclRbwk,236,246,validate
pushing cart,_iyEqlFFrxU,47,57,validate
shuffling cards,_k0w_3JFfmE,26,36,validate
riding elephant,_kAIMDkIKdw,50,60,validate
tap dancing,_kDc7gYphkU,193,203,validate
cooking on campfire,_kJTU04PycQ,87,97,validate
archery,_kQSkEioc08,5,15,validate
snatch weight lifting,_kZsdc1A_J8,505,515,validate
unboxing,_kbDGFjgKYs,87,97,validate
sword fighting,_kcVbo4E2JQ,101,111,validate
sign language interpreting,_ksx4WWPTps,68,78,validate
stretching arm,_kxA3Y7Kp90,11,21,validate
side kick,_lJGEWWlx1Q,51,61,validate
playing cards,_lQMwFpYE6k,94,104,validate
feeding birds,_lR3PdrCkVU,0,10,validate
dancing macarena,_lxqwVNIdzM,3,13,validate
skiing slalom,_mMT4Nt_c-A,295,305,validate
riding scooter,_mbjWPcvK1s,212,222,validate
shooting basketball,_mcUXEEzzxM,8,18,validate
tickling,_mu-nHvEZts,37,47,validate
massaging person's head,_mutUc8IVjc,446,456,validate
crawling baby,_mw74G0S-d0,3,13,validate
playing squash or racquetball,_n3-XZoSALc,23,33,validate
passing American football (not in game),_nWPSAhciNM,0,10,validate
washing feet,_ndsOaXb9-A,248,258,validate
rock scissors paper,_nfO1B5aDLI,36,46,validate
unboxing,_o-nriPJtcM,46,56,validate
peeling potatoes,_oDIj-Vd2Vg,94,104,validate
tapping guitar,_oQdPnAcCNs,170,180,validate
ice climbing,_oT-G6XE1Qg,18,28,validate
shaving head,_otGugUB144,28,38,validate
disc golfing,_owWHGvn_b0,112,122,validate
peeling potatoes,_p8yd7EV8Cc,38,48,validate
swimming butterfly stroke,_plRJr7o2jo,30,40,validate
garbage collecting,_pvhiVa3FjA,240,250,validate
bandaging,_qTc6uZUzKU,36,46,validate
waxing eyebrows,_qdfSxaIEXI,181,191,validate
passing American football (in game),_rS3ufHdRtQ,7,17,validate
garbage collecting,_rkNOZnVu18,191,201,validate
making a cake,_s0jqvtYFb8,2,12,validate
chopping wood,_sUVJ3fTWNA,133,143,validate
vault,_si-ND3psW8,10,20,validate
riding or walking with horse,_t3WgqRYyGE,1,11,validate
tap dancing,_tCKnYXne_o,30,40,validate
playing basketball,_tLX2urc6I8,13,23,validate
spray painting,_tZuT71OsRY,26,36,validate
belly dancing,_usikou9Muc,31,41,validate
riding mule,_uzL32O8dCQ,69,79,validate
eating doughnuts,_vJF1tRYLt4,197,207,validate
folding napkins,_v_VCy-5Hiw,42,52,validate
juggling balls,_vh9Zw1Ore4,0,10,validate
roller skating,_vjX5nPwTBs,72,82,validate
drumming fingers,_vlP33TzJD0,21,31,validate
riding unicycle,_vrnwJbN1eI,19,29,validate
high jump,_vzw8UFAiZE,51,61,validate
playing drums,_wMe9P5gsHE,219,229,validate
shining shoes,_wWwoQiITl8,172,182,validate
situp,_weuwqUOso0,21,31,validate
trapezing,_wfFdIqtHLg,10,20,validate
singing,_wziTEcV6VU,251,261,validate
skateboarding,_x-5Zach8QE,154,164,validate
curling hair,_x7jltgnlr4,121,131,validate
singing,_xEFSxoiudQ,46,56,validate
crawling baby,_xhQd5Zb6p0,5,15,validate
lunge,_y3iCL0IoPE,1,11,validate
kitesurfing,_yIhkGi1O8U,5,15,validate
clean and jerk,_yM3K5ryl88,31,41,validate
testifying,_yMeY9-Gi0k,356,366,validate
bobsledding,_yi2J3Y3st8,4,14,validate
tap dancing,_yinJwi935U,81,91,validate
playing bass guitar,_yjXKwUgolA,76,86,validate
washing dishes,_zgt8QOPeKE,182,192,validate
bending back,_zyHfkpeitg,76,86,validate
carving pumpkin,a-NgFE9Lr5E,103,113,validate
shining shoes,a-RK1G_M9DQ,937,947,validate
opening bottle,a-gdhotwJAg,43,53,validate
lunge,a-xK2hTZDSE,0,10,validate
carrying baby,a06xpsZj--U,62,72,validate
playing volleyball,a0ZmxuMyogI,41,51,validate
unloading truck,a0d0d4VCARs,0,10,validate
shining shoes,a0iO9P2Zt_Y,24,34,validate
exercising with an exercise ball,a0lb9J07s_o,36,46,validate
push up,a105_GJe6io,3,13,validate
unboxing,a1C9sfLFCMw,167,177,validate
changing wheel,a1QXp8yM8kA,259,269,validate
playing chess,a1SrTZ5CAlI,24,34,validate
opening bottle,a1gyzJQ6nto,42,52,validate
washing dishes,a1qH52L5wuo,3,13,validate
picking fruit,a28ubpdlvjA,123,133,validate
playing didgeridoo,a2EHaB5CrFQ,6,16,validate
applying cream,a2MRNCs4F3A,28,38,validate
brushing hair,a2WgvBUiNE0,144,154,validate
cutting watermelon,a2qbEnJr5Pg,27,37,validate
bowling,a3C8ayqyGdg,2,12,validate
cooking chicken,a3Ki429gUZI,246,256,validate
riding camel,a3Kz2fRQ_DQ,14,24,validate
using computer,a3bSOiYn6ko,76,86,validate
cleaning windows,a3gUVG1b0R0,95,105,validate
throwing discus,a3pEm6BN2vw,0,10,validate
sled dog racing,a3u9VL8gnIU,366,376,validate
mopping floor,a45YZv86wco,7,17,validate
skiing slalom,a4AL9zDGYN4,15,25,validate
eating chips,a4DnorM7YlE,4,14,validate
playing violin,a4ROubm0cIc,0,10,validate
jumping into pool,a4Ye18Mnblk,5,15,validate
riding elephant,a4ZXD6shzS0,8,18,validate
curling hair,a4dDmzD2Duk,103,113,validate
water sliding,a4fW4fQhmpQ,0,10,validate
washing hands,a58tBGuDIg0,10,20,validate
skydiving,a5TMoDrF76c,512,522,validate
air drumming,a5XYYxIhZmY,81,91,validate
hammer throw,a5sYZcYgwKQ,139,149,validate
playing cricket,a626NhTMqNg,6,16,validate
catching or throwing frisbee,a6KJuGCozc4,14,24,validate
hurling (sport),a6av8XInSvs,679,689,validate
massaging feet,a7FyBjJjSzw,589,599,validate
flipping pancake,a7Mc-0lwAuE,64,74,validate
passing American football (not in game),a7sSOpPWzDk,1,11,validate
cartwheeling,a89S3wQAPgU,0,10,validate
taking a shower,a8UEUsCYgFo,45,55,validate
climbing a rope,a8kJnOcxmwg,6,16,validate
playing bass guitar,a8ksm0AKRJY,196,206,validate
braiding hair,a8mpJKj2mgc,85,95,validate
arm wrestling,a8taFqSiigM,40,50,validate
punching bag,a93OIfslRCw,2,12,validate
stretching arm,a9An1BgeFlM,3,13,validate
swimming butterfly stroke,aAYaI35qR5Q,5,15,validate
dribbling basketball,aAp4MpIc6zg,43,53,validate
hula hooping,aAqkXI-81zc,7,17,validate
dying hair,aB2vxMeQfG8,52,62,validate
beatboxing,aBDUIoLRVXc,4,14,validate
faceplanting,aBJnzTcJ70o,2,12,validate
cooking sausages,aBcA13FeydA,165,175,validate
peeling potatoes,aBlkLrjYAwI,7,17,validate
playing harmonica,aBtwsG79BnQ,4,14,validate
headbutting,aC5txX6gJLI,3,13,validate
