label,youtube_id,time_start,time_end,split
bobsledding,4YpdYssZHRY,3,13,validate
stretching leg,4YyKnUMQ9PU,3418,3428,validate
drinking shots,4ZUbtL-7Ogw,45,55,validate
high jump,4Zcjoek-1-4,3,13,validate
playing xylophone,4ZuNcpUQmM4,2,12,validate
kicking field goal,4_9HGX79fLM,9,19,validate
hopscotch,4_ALhytSxQs,1,11,validate
news anchoring,4_KD_EcjT-4,36,46,validate
windsurfing,4_XbNjb9pU8,84,94,validate
tobogganing,4aH6wpENF90,42,52,validate
side kick,4bWuYG6bUFE,70,80,validate
spray painting,4cLrwhzGFik,29,39,validate
assembling computer,4c_IJh8W2CA,174,184,validate
swimming butterfly stroke,4ccdtnITFFA,24,34,validate
playing squash or racquetball,4ceqd4IsRBg,188,198,validate
watering plants,4cjfqzOfwGM,104,114,validate
snowboarding,4cjhTsZjNP8,202,212,validate
juggling fire,4cxPpXUM9Z0,10,20,validate
bending back,4dLdF7J2hGc,8,18,validate
folding clothes,4e0PDHZa6lI,15,25,validate
changing oil,4e9BiNdux3E,134,144,validate
counting money,4eEgCU1Mb68,5,15,validate
playing keyboard,4eeA-gswYjc,19,29,validate
roller skating,4eu9MQUwRRo,23,33,validate
hoverboarding,4ev-8m_wd9o,44,54,validate
eating spaghetti,4fRGzKO1KLU,0,10,validate
riding mountain bike,4fs7lYfiFY8,57,67,validate
eating cake,4fwEL41mQAs,0,10,validate
surfing crowd,4g9BE6a3ZBQ,120,130,validate
exercising with an exercise ball,4gAzCdggd-M,16,26,validate
sniffing,4gGPVcFzI-M,11,21,validate
cleaning gutters,4gK1d2dchgs,112,122,validate
windsurfing,4gNhknocfik,178,188,validate
hula hooping,4gOBeJiMwpo,93,103,validate
windsurfing,4gVu9w0rz8U,87,97,validate
feeding birds,4gkVOuf9tho,36,46,validate
hammer throw,4gxIhBqtXLk,8,18,validate
strumming guitar,4h-ZLIIm5uc,532,542,validate
archery,4hxnP0stMN0,3,13,validate
squat,4iD7ez9PS9o,8,18,validate
capoeira,4iDbVXBJwuo,0,10,validate
making sushi,4iLfjkqwY84,56,66,validate
grooming dog,4iNyQyrnwrU,4,14,validate
tango dancing,4iQrKQT-294,123,133,validate
writing,4iVBolW8F1o,77,87,validate
robot dancing,4ik1sNDoQcM,29,39,validate
riding mechanical bull,4j3Wt2OSXjQ,2,12,validate
climbing ladder,4j5wrw-oqfs,5,15,validate
shooting goal (soccer),4jUC0MqbyjY,69,79,validate
presenting weather forecast,4jWDOUY_CP0,0,10,validate
shaking head,4jjUM-Vli0M,3,13,validate
setting table,4jlWSh2sd1Y,8,18,validate
snorkeling,4jqqtj6Pb5A,29,39,validate
situp,4jxRwViz35E,42,52,validate
zumba,4k3qOv-Ft5s,0,10,validate
eating ice cream,4k6y6bt6t_A,10,20,validate
cleaning floor,4k8MOsQ9VTM,66,76,validate
swinging legs,4kHHkmsEmd8,2,12,validate
jogging,4lQmPaWBhYo,4,14,validate
skydiving,4lQqNKeEXhQ,244,254,validate
making bed,4lQruN0HN38,29,39,validate
crossing river,4lYz1L-SEbo,1,11,validate
catching or throwing softball,4ldkCXAamHc,35,45,validate
spinning poi,4ljs17bJg1g,25,35,validate
krumping,4lqNARilMIE,56,66,validate
riding camel,4lsSb73OCVc,22,32,validate
riding or walking with horse,4luNHEnvxNo,11,21,validate
kitesurfing,4luRjdOCkSg,17,27,validate
giving or receiving award,4mIPkSk3YK8,444,454,validate
playing piano,4mQP7S4EGwg,20,30,validate
throwing ball,4mXpxdl3xgs,4,14,validate
vault,4md6zudTjWQ,3,13,validate
waxing back,4mdBtZF7QWg,140,150,validate
brush painting,4mmRFRKKAG0,170,180,validate
surfing water,4nINL5ArZy4,107,117,validate
using segway,4nJ07xfDip0,3,13,validate
riding scooter,4nRvHwt1Qkw,2,12,validate
kissing,4o93mnf2TMA,195,205,validate
exercising arm,4oA18iKYD9o,7,17,validate
cleaning toilet,4oMyjTKXkAY,6,16,validate
rock climbing,4oTDMhDhzoc,23,33,validate
clean and jerk,4ocunhb_L40,32,42,validate
