label,youtube_id,time_start,time_end,split
javelin throw,--07WQ2iBlw,1,11,validate
flipping pancake,--33Lscn6sk,4,14,validate
playing saxophone,--7VUM9MKg4,136,146,validate
slapping,--7goKgS4kc,15,25,validate
making tea,--7qK_w-g3Y,185,195,validate
shaking head,--8FQVwWH0M,3,13,validate
driving tractor,--9s8lCov-I,2,12,validate
playing bass guitar,--GF746y6UM,496,506,validate
digging,--ILYNHl3e4,541,551,validate
finger snapping,--Kr1PZaPDI,1,11,validate
playing violin,--PwWfN1Ae4,97,107,validate
playing drums,--RVKBMp_2M,79,89,validate
playing ukulele,--SOz3xjWfA,37,47,validate
skiing slalom,--SrV9bGzRA,197,207,validate
opening bottle,--TSmh3wj9I,118,128,validate
playing cymbals,--Y25nDn2Wk,60,70,validate
filling eyebrows,--bGIeO_7Jo,184,194,validate
bowling,--dVV4_CSvw,33,43,validate
bobsledding,--gEBElruic,67,77,validate
giving or receiving award,--kbTDDIiP0,62,72,validate
air drumming,--nQbRBEz2s,104,114,validate
capoeira,--o545tThdQ,88,98,validate
bouncing on trampoline,--oEIzy6Esc,45,55,validate
triple jump,--oJV4vFNeI,3,13,validate
changing oil,--rC9Wkh6HA,179,189,validate
pull ups,--rd8woSLiM,41,51,validate
spinning poi,--sGO9m2Was,0,10,validate
building cabinet,--uGS0Y4D6k,9,19,validate
hula hooping,--wYHtYMK9o,8,18,validate
clean and jerk,--yCUKj4Oq4,18,28,validate
milking cow,-0-s1eu4sF4,31,41,validate
counting money,-02UO1KSdZ0,25,35,validate
belly dancing,-05qSkAhM6Y,205,215,validate
waxing chest,-081qTv9fXc,216,226,validate
front raises,-09lBxmFoWE,30,40,validate
brushing hair,-0CNBzthkZ4,4,14,validate
getting a tattoo,-0COMyPvkHU,61,71,validate
shaving head,-0Eu83ggVq4,235,245,validate
marching,-0IErS_cisg,17,27,validate
sailing,-0IEt9-NeV4,637,647,validate
motorcycling,-0L4fgr5GE0,1,11,validate
belly dancing,-0L4z8D2eGs,43,53,validate
motorcycling,-0Li7rc78jQ,128,138,validate
playing paintball,-0ML-FXomBw,1,11,validate
climbing tree,-0Mfuocujdg,0,10,validate
ice fishing,-0N5cgaMCfY,316,326,validate
crawling baby,-0NOgzGpSEY,3,13,validate
playing poker,-0NQHRndkPI,4,14,validate
baby waking up,-0OK3nbLKgM,12,22,validate
wrapping present,-0WZKTu0xNk,112,122,validate
tying tie,-0byZyStAYQ,54,64,validate
playing flute,-0cS8MCIJZY,6,16,validate
texting,-0dYbFhZsGU,237,247,validate
making pizza,-0eUJLYCmbs,1,11,validate
cooking sausages,-0edhdVNyYk,47,57,validate
faceplanting,-0ew-c0w7uc,2,12,validate
high kick,-0lfUaTIAEs,4,14,validate
cleaning toilet,-0o2B1AEdoQ,7,17,validate
making tea,-0r6NmrdKCU,43,53,validate
catching or throwing frisbee,-0vBGWkPoq4,31,41,validate
smoking,-0vzKnJrPQs,96,106,validate
cartwheeling,-0yP0wBW_uQ,3,13,validate
cleaning pool,-0y_lDefNlc,140,150,validate
shaving head,-1-_dKO7AHo,193,203,validate
arm wrestling,-10xhPhBo0k,498,508,validate
tossing salad,-12y8XXUDOA,164,174,validate
swimming butterfly stroke,-15OAjLm520,6,16,validate
feeding fish,-15UpGVyV4w,1,11,validate
scrambling eggs,-16TZQLfXUc,60,70,validate
bee keeping,-18X6h92xpw,24,34,validate
swinging on something,-1AV2VguEDw,136,146,validate
situp,-1DARulHLgw,7,17,validate
baby waking up,-1DQLnNEH8g,3,13,validate
trimming or shaving beard,-1FlCGo8M4E,574,584,validate
opening present,-1Gh2yyYY7M,19,29,validate
celebrating,-1GsilN0qjU,25,35,validate
washing hair,-1HDL5IqExA,18,28,validate
washing hands,-1Hub6Ps_cc,47,57,validate
dancing charleston,-1KtlEOx78I,9,19,validate
playing kickball,-1QTRLQSzhQ,145,155,validate
blowing out candles,-1RpglW_MLA,20,30,validate
walking the dog,-1RxG3SJZfY,103,113,validate
crying,-1Te0BM0oU8,0,10,validate
decorating the christmas tree,-1XzFG0hqAI,1,11,validate
sniffing,-1fippPF1oI,2,12,validate
catching or throwing softball,-1iWWmJmwzI,48,58,validate
shaving head,-1nK1bPQYEc,149,159,validate
knitting,-1qwHuGXhuo,16,26,validate
trimming trees,-1th54-55Xc,16,26,validate
eating carrots,-1vQEXONh3Y,723,733,validate
roller skating,-1xDshoKGiw,168,178,validate
playing cello,-23ykna85DI,174,184,validate
shining shoes,-2C-yeMmge0,3,13,validate
shuffling cards,-2FbowxhzfQ,67,77,validate
milking cow,-2Fv5u2YO5s,90,100,validate
strumming guitar,-2GJPqAglxU,862,872,validate
contact juggling,-2HFZjPOCMk,232,242,validate
belly dancing,-2JgjPsy4Eo,77,87,validate
snorkeling,-2KHLx4pKbc,131,141,validate
stretching leg,-2VKVjgNuE0,0,10,validate
laying bricks,-2_KimSsCJ8,15,25,validate
jumping into pool,-2csq_1UhMQ,2,12,validate
catching fish,-2eq0citAJg,18,28,validate
playing bagpipes,-2jAdijiM14,44,54,validate
eating hotdog,-2kJpg1NIzM,3,13,validate
setting table,-2vSka0wXKY,66,76,validate
counting money,-2vdj0y_rI4,55,65,validate
catching fish,-2yTc7WxGMM,34,44,validate
shot put,-2zDnjMmI5U,477,487,validate
shuffling cards,-344DMDbxtw,19,29,validate
bench pressing,-3Ck7V6iqPk,8,18,validate
smoking,-3D9cHBM4bo,27,37,validate
salsa dancing,-3FihEVl-R8,26,36,validate
bungee jumping,-3GJ6WdOrOw,44,54,validate
eating doughnuts,-3L9Zso_oHg,1,11,validate
breading or breadcrumbing,-3LxDH4ZusU,140,150,validate
waiting in line,-3Pcrzag4_8,14,24,validate
riding mountain bike,-3SGtk0coQg,1052,1062,validate
blowing glass,-3ZP0DrCnOQ,136,146,validate
fixing hair,-3cPJnxtl7U,95,105,validate
feeding goats,-3cl74lG6T4,0,10,validate
playing bass guitar,-3dlwCvBgTI,155,165,validate
juggling fire,-3lxPMlK8ag,33,43,validate
blowing nose,-3nc7ljnlFQ,1,11,validate
writing,-3oo45vpQV4,291,301,validate
bookbinding,-3otOHOo7kY,146,156,validate
push up,-3pjDfx73Aw,109,119,validate
cooking on campfire,-3q1QUUKZ0c,38,48,validate
washing hair,-3uOmg8TxNI,14,24,validate
triple jump,-3xkPTxA7oc,21,31,validate
grooming dog,-3zcsBnDVzU,53,63,validate
hugging,-41x69LV3D4,75,85,validate
barbequing,-43p5IQaY18,383,393,validate
pushing car,-46DNkpyApI,45,55,validate
watering plants,-48AuLUK1Is,19,29,validate
playing cricket,-49tMSUTnZg,16,26,validate
dying hair,-4JdZpx3zNk,268,278,validate
playing violin,-4Q0ouLt0GA,52,62,validate
somersaulting,-4_Q07zuk0w,3,13,validate
jumpstyle dancing,-4aFe_kvUaI,202,212,validate
playing piano,-4c_tY98bNg,53,63,validate
snorkeling,-4cgAtLBvTc,3,13,validate
jetskiing,-4dAJgJgxdE,15,25,validate
doing nails,-4gdLcqRlSg,255,265,validate
arm wrestling,-4hx9N2OhZo,29,39,validate
riding elephant,-4jhRyZILBc,3,13,validate
parasailing,-4jo2KgKd5U,23,33,validate
bookbinding,-4m_QzxDvxc,68,78,validate
doing nails,-4rT1yt_Vsk,166,176,validate
opening bottle,-4szNHl4P0c,12,22,validate
jetskiing,-5-dvLrzE78,27,37,validate
tapping pen,-50rKj9WZgA,28,38,validate
baking cookies,-514AQUrSow,58,68,validate
push up,-51he86iZCY,916,926,validate
doing aerobics,-53DvfE42gE,1767,1777,validate
brush painting,-54Ntbjeiis,104,114,validate
driving car,-54UGh2sZZk,35,45,validate
