label,youtube_id,time_start,time_end,split
washing hands,mY9gS4rnuKY,1,11,validate
riding elephant,mYHR1Dk_mCI,73,83,validate
dribbling basketball,mYg-tum5zq4,29,39,validate
playing cards,mYyGxGuABjs,68,78,validate
skiing (not slalom or crosscountry),mYyfgoOtcQc,226,236,validate
waxing eyebrows,mZGCStZvP18,27,37,validate
milking cow,mZeyssNxGIE,33,43,validate
dancing gangnam style,m_BHgDs72So,132,142,validate
laying bricks,m_bT9YHBKvg,64,74,validate
disc golfing,ma5xE-ncQaE,5,15,validate
playing tennis,ma7UszE8wqA,428,438,validate
building shed,maFCq1Sytig,73,83,validate
water skiing,malzYGJFF4A,4,14,validate
spray painting,maoxoGljSCw,195,205,validate
arm wrestling,mavoXrdKet4,57,67,validate
throwing ball,mb0aCyDHfdQ,132,142,validate
headbanging,mbUvCCPGc28,2,12,validate
hurdling,mbiFfF25BYg,0,10,validate
swimming backstroke,mcKV4x59z6k,21,31,validate
shot put,mcKxvpzaT_k,7,17,validate
scuba diving,mc_4qTfYtvw,156,166,validate
laughing,mcgSKxeuRrM,15,25,validate
playing controller,mcywwdr0YMU,0,10,validate
plastering,mdN9BDP0cVY,32,42,validate
playing bagpipes,mdXhMyKlQsI,19,29,validate
parkour,mdiNDopw7wk,72,82,validate
pull ups,mdm2VPKdW-8,4,14,validate
windsurfing,mdmkxX5z-fA,60,70,validate
sanding floor,mdpUEQQF03s,4,14,validate
making a sandwich,mdz1rEUh3WE,329,339,validate
playing guitar,meMLnQoTKB8,137,147,validate
playing basketball,meU_fRey6Us,1,11,validate
skipping rope,meaBXVZjx6M,16,26,validate
salsa dancing,megUxTBi9r8,8,18,validate
pole vault,meoWZ1SQ0Xo,3,13,validate
climbing tree,mf5s65eldQ0,2,12,validate
eating chips,mfSQNA-Qzak,0,10,validate
cheerleading,mfkizZv91-I,367,377,validate
building shed,mfs4rxBeyK0,202,212,validate
unboxing,mgH-po4ZbsI,195,205,validate
tasting beer,mgcPXbVb_qo,15,25,validate
washing hands,mghTC0wpLQw,44,54,validate
tai chi,mgiM72pnseY,139,149,validate
kicking field goal,mgxX-7fBeqk,62,72,validate
slapping,mh8ZXSqQKyY,20,30,validate
playing guitar,mhzWCdClkAI,142,152,validate
barbequing,mi4Dn0m_4xA,71,81,validate
climbing a rope,miHEwIXio_c,35,45,validate
parkour,miHdBHZAaNk,2,12,validate
bungee jumping,miHkiTqFDoU,140,150,validate
windsurfing,mjG061TUe2E,118,128,validate
playing trombone,mjcRsL7PsMY,67,77,validate
bandaging,mkEXvmP16X4,269,279,validate
waxing chest,mkJG0K2fwpc,147,157,validate
sanding floor,mkRBzhkeNOk,2,12,validate
ice skating,mkoRSlkknhM,70,80,validate
hurling (sport),ml2eBC_nXrw,55,65,validate
riding mechanical bull,ml4v9_rYeu4,0,10,validate
sniffing,mlPaqOhq0oM,120,130,validate
moving furniture,mlksNnm_sIo,12,22,validate
eating carrots,mll4cKqTJZg,3,13,validate
massaging person's head,mlma0EQO1AE,0,10,validate
gymnastics tumbling,mlzx2bi9nwQ,59,69,validate
shooting basketball,mmGSQfAVPgM,355,365,validate
flipping pancake,mmfdQOtaD1A,17,27,validate
running on treadmill,mmhnP-CB4is,75,85,validate
celebrating,mmyHWM-OfBc,81,91,validate
archery,mnUVG7T6iKg,109,119,validate
waxing back,mnX-PZ1HwZc,38,48,validate
playing clarinet,mn_U5tTi-wo,527,537,validate
arranging flowers,mngF930_nN8,82,92,validate
checking tires,mngRWrgzMZ4,37,47,validate
throwing ball,mnsF2mNuK8M,30,40,validate
skiing crosscountry,mo6B2W-Azag,180,190,validate
windsurfing,moPU5btIRjk,8,18,validate
situp,morw9cZrOsc,1,11,validate
cooking sausages,mpHrrOP9K-M,387,397,validate
shoveling snow,mpQwTCyf0KI,8,18,validate
headbutting,mpc567YjueM,2,12,validate
dancing gangnam style,mrA5RNyGXaU,93,103,validate
clapping,mrcmiD8SHtg,2,12,validate
drop kicking,mrjUVanYHDg,4,14,validate
eating spaghetti,mrjZ4ZhqLAs,10,20,validate
breading or breadcrumbing,msJFmiJxPso,233,243,validate
catching or throwing frisbee,msM89IKC3dc,4,14,validate
washing feet,msaU6yR3bA4,97,107,validate
frying vegetables,mt19I5ru8cw,124,134,validate
giving or receiving award,mtL96cCYMpk,19,29,validate
reading newspaper,mtm9hz6cmr4,10,20,validate
cooking egg,mtrJJQG5kFU,95,105,validate
rock climbing,mtsD_4sKXu0,50,60,validate
riding elephant,muD4owEuIxs,10,20,validate
vault,muL7DTddPQM,9,19,validate
brushing hair,mupzvLpU8UU,9,19,validate
bouncing on trampoline,mv3TOzuv_4g,2,12,validate
kicking field goal,mv6quIquMUE,3,13,validate
stretching leg,mvAN3D2CyK4,284,294,validate
