label,youtube_id,time_start,time_end,split
abseiling,OXdjzEpoS2U,27,37,train
climbing ladder,OXeBpzDj-GI,22,32,train
pushing car,OXgQT2hjQRc,789,799,train
strumming guitar,OXgnEigw9mQ,187,197,train
tasting beer,OXh5VZ_ksYg,350,360,train
trapezing,OXi23HSXa74,3,13,train
playing trombone,OXiqQLW_06k,270,280,train
doing laundry,OXkSFhP1uWg,71,81,train
breakdancing,OXm6nNSMMho,48,58,train
snatch weight lifting,OXn8UouWJ0o,520,530,train
archery,OXnL-zHnh-E,66,76,train
snatch weight lifting,OXnWU14ewaw,3,13,train
reading book,OXoShtrFtiU,22,32,train
eating chips,OXpEUsLPxRo,64,74,train
surfing crowd,OXshqOMt3hs,8,18,train
driving tractor,OXtIF6MBQq4,3,13,train
throwing axe,OXxwb0XMnwE,93,103,train
petting cat,OXy2QZWJr1s,41,51,train
riding mountain bike,OXy4sUyFNlE,3,13,train
dancing charleston,OXzQJChTbUw,163,173,train
tasting beer,OY0zYf5Bz7Q,414,424,train
dancing gangnam style,OY1obyhMa3g,43,53,train
marching,OY34G0S41jk,187,197,train
diving cliff,OY3vNnau7N4,10,20,train
cheerleading,OY3yCJUnmDo,134,144,train
playing cards,OY4OAGrP6to,118,128,train
breakdancing,OY4PzmrM5pk,69,79,train
gymnastics tumbling,OY4UHTFNWZA,0,10,train
lunge,OY4kOnVUOGo,0,10,train
cleaning shoes,OY5Yjjpcodw,45,55,train
massaging legs,OY6DT15bHcM,85,95,train
playing ukulele,OY6GMWVpYTo,95,105,train
baby waking up,OY7L6i2JSmE,23,33,train
busking,OY9gmnM2-LM,19,29,train
parkour,OYAV2UXZaE4,79,89,train
shoveling snow,OYBaVxi1eRQ,7,17,train
presenting weather forecast,OYFQsvdz-wQ,63,73,train
ski jumping,OYGfNx-BdS8,89,99,train
mowing lawn,OYGhATT2pF4,173,183,train
golf chipping,OYHOwGGU7mg,155,165,train
cleaning shoes,OYMGPkucZYI,52,62,train
chopping wood,OYOWq0nOUAM,27,37,train
playing trombone,OYRlsEINGHo,81,91,train
holding snake,OYRmQT0z7sc,17,27,train
giving or receiving award,OYRw6UPRSa0,74,84,train
bench pressing,OYT1TbTaczA,25,35,train
peeling potatoes,OYV_cDH3r4A,17,27,train
bookbinding,OYW7bixKYQY,232,242,train
air drumming,OYW_yUSKMvE,17,27,train
walking the dog,OYX4_OlV2TU,33,43,train
playing violin,OYX8HSLSdpI,17,27,train
climbing tree,OYXhXf82_bY,0,10,train
riding scooter,OYZ6MdM5XOs,18,28,train
swimming backstroke,OYajaSJaoiM,54,64,train
crossing river,OYbZKjoKGr0,74,84,train
contact juggling,OYeW5rpoRVM,28,38,train
zumba,OYeu6a3b-vg,14,24,train
hammer throw,OYjsAsAD_gE,0,10,train
clean and jerk,OYmGSdTd_c8,12,22,train
hopscotch,OYnC_YMUcd0,2,12,train
juggling balls,OYnZoNNpdXQ,12,22,train
brushing teeth,OYoWS-SX-Yo,44,54,train
folding paper,OYoePQhZtZQ,77,87,train
eating hotdog,OYonemSL3Vk,40,50,train
presenting weather forecast,OYpL36IaSNA,62,72,train
skydiving,OYpai2iFOhw,76,86,train
skiing (not slalom or crosscountry),OYq7mKHsrkg,37,47,train
skateboarding,OYqMRmTeyFs,17,27,train
riding unicycle,OYqz8Ekdt2k,60,70,train
parkour,OYt9MEopybI,92,102,train
massaging person's head,OYufE-dbg-s,115,125,train
trimming trees,OYvsHLtk0M0,2,12,train
spraying,OYvvLSxBNqk,64,74,train
eating ice cream,OYxNLJTk_Kw,23,33,train
petting animal (not cat),OYxlR210HSY,6,16,train
jumping into pool,OZ-zniL19J4,0,10,train
swimming butterfly stroke,OZ0RNnJppLY,5,15,train
snowkiting,OZ0XrLsdIvA,12,22,train
skiing (not slalom or crosscountry),OZ0peJjP33M,366,376,train
sniffing,OZ1k_ipSCh4,16,26,train
barbequing,OZ1s6BYSY_g,263,273,train
ski jumping,OZ2SbtUBm38,1,11,train
snowkiting,OZ3QU5QLJ3A,183,193,train
spinning poi,OZ4cwF71fng,56,66,train
swinging on something,OZ6ZEOakMsw,0,10,train
cleaning windows,OZ6_17uTBlc,27,37,train
picking fruit,OZBpym6dVPY,20,30,train
bench pressing,OZC0MPNO1ds,0,10,train
hula hooping,OZE3iZVT0e4,2,12,train
cheerleading,OZErpC7N_kA,35,45,train
playing drums,OZFVp-7yFhU,209,219,train
tossing salad,OZG633i7BYM,377,387,train
milking cow,OZG8tebwDv8,0,10,train
playing accordion,OZHg1uoIe1w,14,24,train
pull ups,OZJD5fKVE1Y,170,180,train
stretching leg,OZLHzxNXKg4,3,13,train
dying hair,OZMfm4e1554,169,179,train
playing controller,OZOD74oU88Y,68,78,train
picking fruit,OZOiGnZBxB8,8,18,train
playing violin,OZRjoqq84og,97,107,train
bench pressing,OZSHg8EiPjI,131,141,train
washing feet,OZSxL7hheJ8,341,351,train
riding mule,OZSxMHgWc3Y,17,27,train
playing violin,OZV6v3n9Rws,250,260,train
fixing hair,OZVKy7JaGoE,15,25,train
climbing ladder,OZWQJLGNMwo,14,24,train
braiding hair,OZWc_ZF1Hx8,95,105,train
skiing slalom,OZYYCQdmkUA,11,21,train
juggling soccer ball,OZZxnk5G9Fs,66,76,train
gymnastics tumbling,OZ_HIjPYi0g,22,32,train
roller skating,OZbcOKa6Bd8,14,24,train
waxing legs,OZc0EBJAxmM,178,188,train
getting a haircut,OZdIn_1-lJY,27,37,train
hugging,OZdP1_VrsQ4,201,211,train
passing American football (not in game),OZeCEb-Zamo,0,10,train
curling hair,OZeZmbyGZUo,414,424,train
snorkeling,OZfhARiuRZU,154,164,train
washing dishes,OZftVCeblMk,1,11,train
cartwheeling,OZhbH2jQMj8,2,12,train
smoking hookah,OZiOB7QZZq8,0,10,train
long jump,OZjX_nPa_og,4,14,train
playing guitar,OZnDVAtCIZE,4,14,train
drinking beer,OZocobT-8LI,16,26,train
eating watermelon,OZpFxar4qd4,6,16,train
baking cookies,OZr_bLz_VFo,143,153,train
washing feet,OZrwQ0K2N1g,10,20,train
playing harmonica,OZseQYuOYJc,0,10,train
waxing chest,OZxjoIwkCyE,239,249,train
making a sandwich,OZy7ajVopSc,2,12,train
making snowman,O_0FeBaOPA0,0,10,train
grinding meat,O_1GwD9EnWc,494,504,train
folding clothes,O_1of5Ej0UU,57,67,train
jetskiing,O_4HG5UpJm0,13,23,train
arranging flowers,O_4biPGmqFY,90,100,train
tobogganing,O_57TtBdy1I,85,95,train
kicking soccer ball,O_6Fh3qNIRc,4,14,train
playing violin,O_8M9Ycd35k,54,64,train
baking cookies,O_8YXmgWY5o,763,773,train
hula hooping,O_9VzekkfpM,11,21,train
blowing out candles,O_AhjReQBlw,59,69,train
eating doughnuts,O_AkzabbvZg,150,160,train
throwing discus,O_GXIbsmiqM,2,12,train
playing didgeridoo,O_GbqWKJXNw,46,56,train
changing oil,O_J3TgJlM44,222,232,train
tobogganing,O_J72sRQhPY,5,15,train
sneezing,O_NRJX7_YP4,0,10,train
skiing slalom,O_NT7p4hxoA,27,37,train
salsa dancing,O_P9MLdiacI,83,93,train
cheerleading,O_Q3i7iIku0,144,154,train
catching or throwing frisbee,O_Rf552blo0,2,12,train
headbanging,O_S0VnbQGtI,2,12,train
ice skating,O_SVnZlYtKc,10,20,train
testifying,O_Ser1ZAIkE,145,155,train
sanding floor,O_SjC5bUuK0,12,22,train
parasailing,O_V6ShMpeRQ,18,28,train
tapping pen,O_YxxnMKlAw,0,10,train
shot put,O_ZGndRZm0g,58,68,train
playing kickball,O__KhJ0TU7Y,5,15,train
shot put,O_fHbYLHbEs,2,12,train
canoeing or kayaking,O_i1gA-WkEs,21,31,train
feeding goats,O_iJwRnvvTU,43,53,train
massaging back,O_ie6tLPxwQ,276,286,train
waxing chest,O_joCdW4ms4,68,78,train
riding mountain bike,O_jvTsfhMho,3,13,train
stomping grapes,O_jxsPzQfwM,0,10,train
massaging feet,O_lm_AZ7aR4,4,14,train
presenting weather forecast,O_mNeRzBMwE,56,66,train
making pizza,O_mYhsiDphM,23,33,train
presenting weather forecast,O_muNdBuLtM,89,99,train
playing ukulele,O_n4rana8NA,14,24,train
giving or receiving award,O_niOuwF0rI,31,41,train
ice skating,O_nqsnyeT-k,15,25,train
passing American football (not in game),O_okajPrN7k,3,13,train
juggling fire,O_opwEVld_A,4,14,train
throwing axe,O_otn28Ter8,2,12,train
baking cookies,O_pcMmLcYig,81,91,train
headbanging,O_rqcwzgE_U,9,19,train
waxing chest,O_sasw7Pv7s,12,22,train
hopscotch,O_t4FLsYZzQ,0,10,train
milking cow,O_wmDCGF3PE,51,61,train
playing didgeridoo,O_yeioEoBMA,45,55,train
doing laundry,O_zQrGk3Uvs,0,10,train
ice climbing,Oa0aPF-n4UM,187,197,train
headbutting,Oa4kAf86cs0,2,12,train
presenting weather forecast,Oa4kFR_GfoQ,102,112,train
catching or throwing softball,Oa53j8xKiho,5,15,train
